NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SIGNAL RELEASE FROM SYNAPSE%GOBP%GO:0099643	SIGNAL RELEASE FROM SYNAPSE%GOBP%GO:0099643	Details ...	60	-0.51953435	-1.8965114	0.0	1.0	0.73	2649	tags=37%, list=17%, signal=44%	
SIGNALING EVENTS MEDIATED BY PRL%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY PRL	SIGNALING EVENTS MEDIATED BY PRL%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY PRL	Details ...	21	-0.6556625	-1.8879137	0.0	0.81307286	0.771	2557	tags=57%, list=17%, signal=68%	
NEUROTRANSMITTER SECRETION%GOBP%GO:0007269	NEUROTRANSMITTER SECRETION%GOBP%GO:0007269	Details ...	60	-0.51953435	-1.8629941	0.0	0.770732	0.875	2649	tags=37%, list=17%, signal=44%	
SIGNALING BY NOTCH1 HD DOMAIN MUTANTS IN CANCER%REACTOME DATABASE ID RELEASE 75%2691230	SIGNALING BY NOTCH1 HD DOMAIN MUTANTS IN CANCER%REACTOME DATABASE ID RELEASE 75%2691230	Details ...	15	-0.6981275	-1.8513415	0.0	0.6683827	0.906	3007	tags=53%, list=20%, signal=66%	
PATHOGENIC ESCHERICHIA COLI INFECTION%WIKIPATHWAYS_20210210%WP2272%HOMO SAPIENS	PATHOGENIC ESCHERICHIA COLI INFECTION%WIKIPATHWAYS_20210210%WP2272%HOMO SAPIENS	Details ...	34	-0.5669358	-1.8509477	0.0019723866	0.5372966	0.907	3867	tags=56%, list=25%, signal=75%	
PID_PRL_SIGNALING_EVENTS_PATHWAY%MSIGDB_C2%PID_PRL_SIGNALING_EVENTS_PATHWAY	PID_PRL_SIGNALING_EVENTS_PATHWAY%MSIGDB_C2%PID_PRL_SIGNALING_EVENTS_PATHWAY	Details ...	18	-0.6771623	-1.8481921	0.0	0.46630582	0.916	2043	tags=56%, list=13%, signal=64%	
CONSTITUTIVE SIGNALING BY NOTCH1 HD DOMAIN MUTANTS%REACTOME%R-HSA-2691232.1	CONSTITUTIVE SIGNALING BY NOTCH1 HD DOMAIN MUTANTS%REACTOME%R-HSA-2691232.1	Details ...	15	-0.6981275	-1.8254015	0.009861933	0.5273098	0.962	3007	tags=53%, list=20%, signal=66%	
NEUROTRANSMITTER TRANSPORT%GOBP%GO:0006836	NEUROTRANSMITTER TRANSPORT%GOBP%GO:0006836	Details ...	123	-0.4420773	-1.8082536	0.0	0.5656747	0.989	2649	tags=30%, list=17%, signal=36%	
NEGATIVE REGULATION OF CENTROSOME CYCLE%GOBP%GO:0046606	NEGATIVE REGULATION OF CENTROSOME CYCLE%GOBP%GO:0046606	Details ...	15	-0.68336874	-1.7875841	0.001992032	0.6369063	0.997	3158	tags=67%, list=21%, signal=84%	
RECEPTOR CLUSTERING%GOBP%GO:0043113	RECEPTOR CLUSTERING%GOBP%GO:0043113	Details ...	32	-0.5569149	-1.7821145	0.0	0.6129388	0.998	2052	tags=31%, list=13%, signal=36%	
PROTEIN LOCALIZATION TO GOLGI APPARATUS%GOBP%GO:0034067	PROTEIN LOCALIZATION TO GOLGI APPARATUS%GOBP%GO:0034067	Details ...	24	-0.5854072	-1.76692	0.0019267823	0.66281885	1.0	3369	tags=50%, list=22%, signal=64%	
INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:0070059	INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:0070059	Details ...	27	-0.5826332	-1.7607045	0.0	0.6516023	1.0	3382	tags=48%, list=22%, signal=62%	
NADP METABOLIC PROCESS%GOBP%GO:0006739	NADP METABOLIC PROCESS%GOBP%GO:0006739	Details ...	25	-0.5870734	-1.7592345	0.003816794	0.6119562	1.0	3326	tags=48%, list=22%, signal=61%	
NEGATIVE REGULATION OF LEUKOCYTE APOPTOTIC PROCESS%GOBP%GO:2000107	NEGATIVE REGULATION OF LEUKOCYTE APOPTOTIC PROCESS%GOBP%GO:2000107	Details ...	19	-0.625404	-1.7524284	0.0038240917	0.6137773	1.0	2950	tags=47%, list=19%, signal=59%	
NGF-STIMULATED TRANSCRIPTION%REACTOME DATABASE ID RELEASE 75%9031628	NGF-STIMULATED TRANSCRIPTION%REACTOME DATABASE ID RELEASE 75%9031628	Details ...	34	-0.5372634	-1.7350197	0.0038986355	0.68916416	1.0	3597	tags=47%, list=23%, signal=61%	
PID_TCPTP_PATHWAY%MSIGDB_C2%PID_TCPTP_PATHWAY	PID_TCPTP_PATHWAY%MSIGDB_C2%PID_TCPTP_PATHWAY	Details ...	31	-0.54617494	-1.719709	0.003929273	0.7611848	1.0	3284	tags=48%, list=21%, signal=61%	
