NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
OLFACTORY SIGNALING PATHWAY%REACTOME%R-HSA-381753.2	OLFACTORY SIGNALING PATHWAY%REACTOME%R-HSA-381753.2	Details ...	104	0.47815713	1.939336	0.0	0.7240629	0.557	2936	tags=36%, list=19%, signal=44%	
POLYSACCHARIDE CATABOLIC PROCESS%GOBP%GO:0000272	POLYSACCHARIDE CATABOLIC PROCESS%GOBP%GO:0000272	Details ...	16	0.6979789	1.8753449	0.0	0.83560926	0.841	2694	tags=56%, list=18%, signal=68%	
PHENOL-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0018958	PHENOL-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0018958	Details ...	36	0.561873	1.8509272	0.0	0.742829	0.905	2786	tags=42%, list=18%, signal=51%	
REGULATION OF ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0032878	REGULATION OF ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0032878	Details ...	21	0.6216403	1.8477231	0.0	0.57765234	0.911	1062	tags=33%, list=7%, signal=36%	
GLUCAN CATABOLIC PROCESS%GOBP%GO:0009251	GLUCAN CATABOLIC PROCESS%GOBP%GO:0009251	Details ...	15	0.7027054	1.844175	0.0020283975	0.48091263	0.917	2694	tags=60%, list=18%, signal=73%	
CELLULAR POLYSACCHARIDE CATABOLIC PROCESS%GOBP%GO:0044247	CELLULAR POLYSACCHARIDE CATABOLIC PROCESS%GOBP%GO:0044247	Details ...	16	0.6979789	1.841263	0.0	0.41624433	0.922	2694	tags=56%, list=18%, signal=68%	
GLUCAN METABOLIC PROCESS%GOBP%GO:0044042	GLUCAN METABOLIC PROCESS%GOBP%GO:0044042	Details ...	26	0.59421384	1.840741	0.0020833334	0.35912862	0.923	1532	tags=35%, list=10%, signal=38%	
CELLULAR GLUCAN METABOLIC PROCESS%GOBP%GO:0006073	CELLULAR GLUCAN METABOLIC PROCESS%GOBP%GO:0006073	Details ...	26	0.59421384	1.8252292	0.0043956046	0.3771325	0.963	1532	tags=35%, list=10%, signal=38%	
GLYCOGEN METABOLIC PROCESS%GOBP%GO:0005977	GLYCOGEN METABOLIC PROCESS%GOBP%GO:0005977	Details ...	25	0.6004503	1.8160332	0.0	0.3744097	0.971	1532	tags=36%, list=10%, signal=40%	
PROTEIN N-LINKED GLYCOSYLATION VIA ASPARAGINE%GOBP%GO:0018279	PROTEIN N-LINKED GLYCOSYLATION VIA ASPARAGINE%GOBP%GO:0018279	Details ...	27	0.5845569	1.8114469	0.004149378	0.35546702	0.975	2043	tags=41%, list=13%, signal=47%	
ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME DATABASE ID RELEASE 75%176187	ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME DATABASE ID RELEASE 75%176187	Details ...	36	0.54704475	1.8071657	0.001980198	0.33963493	0.979	3534	tags=42%, list=23%, signal=54%	
POLYOL BIOSYNTHETIC PROCESS%GOBP%GO:0046173	POLYOL BIOSYNTHETIC PROCESS%GOBP%GO:0046173	Details ...	33	0.562677	1.8029832	0.0	0.32547006	0.985	1931	tags=36%, list=13%, signal=42%	
DIOL BIOSYNTHETIC PROCESS%GOBP%GO:0034312	DIOL BIOSYNTHETIC PROCESS%GOBP%GO:0034312	Details ...	15	0.6890234	1.7990563	0.0	0.3134131	0.987	1825	tags=40%, list=12%, signal=45%	
GLYCOGEN METABOLISM%REACTOME%R-HSA-8982491.1	GLYCOGEN METABOLISM%REACTOME%R-HSA-8982491.1	Details ...	25	0.5889429	1.7895982	0.0021786492	0.32438588	0.993	2694	tags=36%, list=18%, signal=44%	
GLYCOGEN BREAKDOWN (GLYCOGENOLYSIS)%REACTOME DATABASE ID RELEASE 75%70221	GLYCOGEN BREAKDOWN (GLYCOGENOLYSIS)%REACTOME DATABASE ID RELEASE 75%70221	Details ...	15	0.67353034	1.7823564	0.006263048	0.33002567	0.995	2694	tags=53%, list=18%, signal=65%	
CATECHOL-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0009712	CATECHOL-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0009712	Details ...	17	0.64776057	1.7801421	0.0058027077	0.31701237	0.996	2786	tags=47%, list=18%, signal=57%	
CATECHOLAMINE METABOLIC PROCESS%GOBP%GO:0006584	CATECHOLAMINE METABOLIC PROCESS%GOBP%GO:0006584	Details ...	17	0.64776057	1.7689294	0.012	0.33739838	1.0	2786	tags=47%, list=18%, signal=57%	
DNA REPLICATION%WIKIPATHWAYS_20210210%WP466%HOMO SAPIENS	DNA REPLICATION%WIKIPATHWAYS_20210210%WP466%HOMO SAPIENS	Details ...	24	0.58117586	1.7535464	0.0	0.3762109	1.0	3534	tags=46%, list=23%, signal=59%	
RECOGNITION OF DNA DAMAGE BY PCNA-CONTAINING REPLICATION COMPLEX%REACTOME DATABASE ID RELEASE 75%110314	RECOGNITION OF DNA DAMAGE BY PCNA-CONTAINING REPLICATION COMPLEX%REACTOME DATABASE ID RELEASE 75%110314	Details ...	30	0.54876184	1.7387207	0.0	0.41677403	1.0	2633	tags=30%, list=17%, signal=36%	
FATTY ACID &BETA;-OXIDATION I%HUMANCYC%FAO-PWY	FATTY ACID &BETA;-OXIDATION I%HUMANCYC%FAO-PWY	Details ...	17	0.6296802	1.7183311	0.006024096	0.48838964	1.0	1690	tags=24%, list=11%, signal=26%	
NEGATIVE REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:2000816	NEGATIVE REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:2000816		22	0.586067	1.7133105	0.006012024	0.4888945	1.0	2214	tags=50%, list=14%, signal=58%	
REGULATION OF ESTABLISHMENT OF CELL POLARITY%GOBP%GO:2000114	REGULATION OF ESTABLISHMENT OF CELL POLARITY%GOBP%GO:2000114		18	0.6081581	1.7107022	0.006329114	0.4784793	1.0	1062	tags=33%, list=7%, signal=36%	
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 75%68962	ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 75%68962		29	0.5399697	1.703565	0.0041237115	0.4913643	1.0	3073	tags=48%, list=20%, signal=60%	
PEPTIDYL-ASPARAGINE MODIFICATION%GOBP%GO:0018196	PEPTIDYL-ASPARAGINE MODIFICATION%GOBP%GO:0018196		28	0.5475728	1.698343	0.004166667	0.4965947	1.0	2043	tags=39%, list=13%, signal=45%	
POSITIVE REGULATION OF CELL-SUBSTRATE ADHESION%GOBP%GO:0010811	POSITIVE REGULATION OF CELL-SUBSTRATE ADHESION%GOBP%GO:0010811		73	0.44447613	1.6929944	0.0	0.5025551	1.0	1784	tags=27%, list=12%, signal=31%	
REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:0010965	REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:0010965		53	0.47644573	1.6865917	0.004405286	0.51530194	1.0	2706	tags=40%, list=18%, signal=48%	
METALLOPROTEASE DUBS%REACTOME DATABASE ID RELEASE 75%5689901	METALLOPROTEASE DUBS%REACTOME DATABASE ID RELEASE 75%5689901		24	0.5518832	1.6799937	0.013071896	0.5280894	1.0	1196	tags=29%, list=8%, signal=32%	
POSITIVE REGULATION OF CELL-MATRIX ADHESION%GOBP%GO:0001954	POSITIVE REGULATION OF CELL-MATRIX ADHESION%GOBP%GO:0001954		35	0.50861925	1.6773918	0.004158004	0.5221752	1.0	1582	tags=34%, list=10%, signal=38%	
ENERGY RESERVE METABOLIC PROCESS%GOBP%GO:0006112	ENERGY RESERVE METABOLIC PROCESS%GOBP%GO:0006112		34	0.5169721	1.672609	0.0040241447	0.5261383	1.0	1532	tags=29%, list=10%, signal=33%	
CHROMOSOME ORGANIZATION INVOLVED IN MEIOTIC CELL CYCLE%GOBP%GO:0070192	CHROMOSOME ORGANIZATION INVOLVED IN MEIOTIC CELL CYCLE%GOBP%GO:0070192		35	0.51219696	1.6646984	0.008247423	0.5468456	1.0	2533	tags=37%, list=17%, signal=44%	
NEGATIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905819	NEGATIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905819		23	0.55752206	1.6596841	0.012396694	0.55562574	1.0	2214	tags=48%, list=14%, signal=56%	
MITOTIC SPINDLE CHECKPOINT%GOBP%GO:0071174	MITOTIC SPINDLE CHECKPOINT%GOBP%GO:0071174		21	0.5706643	1.6583781	0.01026694	0.54532385	1.0	2214	tags=48%, list=14%, signal=56%	
MITOTIC SPINDLE ASSEMBLY CHECKPOINT%GOBP%GO:0007094	MITOTIC SPINDLE ASSEMBLY CHECKPOINT%GOBP%GO:0007094		21	0.5706643	1.6526567	0.010288066	0.5586754	1.0	2214	tags=48%, list=14%, signal=56%	
INNER EAR DEVELOPMENT%GOBP%GO:0048839	INNER EAR DEVELOPMENT%GOBP%GO:0048839		39	0.4907792	1.6525083	0.007874016	0.5433416	1.0	2868	tags=36%, list=19%, signal=44%	
SPINDLE ASSEMBLY CHECKPOINT%GOBP%GO:0071173	SPINDLE ASSEMBLY CHECKPOINT%GOBP%GO:0071173		21	0.5706643	1.6519132	0.0062240665	0.530854	1.0	2214	tags=48%, list=14%, signal=56%	
NEGATIVE REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GOBP%GO:0045841	NEGATIVE REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GOBP%GO:0045841		21	0.5706643	1.651744	0.010204081	0.51689184	1.0	2214	tags=48%, list=14%, signal=56%	
REGULATION OF DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:0043516	REGULATION OF DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:0043516		23	0.5514113	1.649792	0.017821781	0.51194215	1.0	3925	tags=43%, list=26%, signal=58%	
CELLULAR POLYSACCHARIDE METABOLIC PROCESS%GOBP%GO:0044264	CELLULAR POLYSACCHARIDE METABOLIC PROCESS%GOBP%GO:0044264		50	0.46250242	1.642373	0.00407332	0.5342447	1.0	1532	tags=22%, list=10%, signal=24%	
FATTY ACID BETA-OXIDATION%GOBP%GO:0006635	FATTY ACID BETA-OXIDATION%GOBP%GO:0006635		47	0.46827027	1.6360892	0.005882353	0.55115056	1.0	2384	tags=21%, list=16%, signal=25%	
REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905818	REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905818		58	0.4481795	1.6354316	0.0021459227	0.5402402	1.0	2706	tags=38%, list=18%, signal=46%	
NUCLEOTIDE EXCISION REPAIR%WIKIPATHWAYS_20210210%WP4753%HOMO SAPIENS	NUCLEOTIDE EXCISION REPAIR%WIKIPATHWAYS_20210210%WP4753%HOMO SAPIENS		32	0.51770407	1.6254131	0.006423983	0.5757291	1.0	2960	tags=31%, list=19%, signal=39%	
FOREBRAIN NEURON DEVELOPMENT%GOBP%GO:0021884	FOREBRAIN NEURON DEVELOPMENT%GOBP%GO:0021884		15	0.59716547	1.6110413	0.023206752	0.6359178	1.0	1331	tags=33%, list=9%, signal=36%	
SPINDLE CHECKPOINT%GOBP%GO:0031577	SPINDLE CHECKPOINT%GOBP%GO:0031577		22	0.54119706	1.6062261	0.023255814	0.6462757	1.0	2214	tags=45%, list=14%, signal=53%	
ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:0046165	ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:0046165		69	0.42475405	1.5973477	0.0019379845	0.68273515	1.0	1931	tags=23%, list=13%, signal=26%	
REGULATION OF COMPLEMENT ACTIVATION%GOBP%GO:0030449	REGULATION OF COMPLEMENT ACTIVATION%GOBP%GO:0030449		40	0.47226256	1.5929118	0.00856531	0.69310004	1.0	2619	tags=38%, list=17%, signal=45%	
MEIOTIC CELL CYCLE PROCESS%GOBP%GO:1903046	MEIOTIC CELL CYCLE PROCESS%GOBP%GO:1903046		106	0.39338744	1.5926793	0.0021231424	0.67963606	1.0	2617	tags=29%, list=17%, signal=35%	
TRANSLATION OF STRUCTURAL PROTEINS%REACTOME DATABASE ID RELEASE 75%9694635	TRANSLATION OF STRUCTURAL PROTEINS%REACTOME DATABASE ID RELEASE 75%9694635		42	0.46827796	1.5873622	0.012448133	0.6974832	1.0	2036	tags=24%, list=13%, signal=27%	
REGULATION OF ENDOTHELIAL CELL CHEMOTAXIS%GOBP%GO:2001026	REGULATION OF ENDOTHELIAL CELL CHEMOTAXIS%GOBP%GO:2001026		15	0.606621	1.5847543	0.02020202	0.6980026	1.0	1476	tags=27%, list=10%, signal=29%	
PROTEIN N-LINKED GLYCOSYLATION%GOBP%GO:0006487	PROTEIN N-LINKED GLYCOSYLATION%GOBP%GO:0006487		68	0.4219428	1.5822028	0.0021459227	0.69841874	1.0	2153	tags=26%, list=14%, signal=31%	
CANONICAL AND NON-CANONICAL TGF-B SIGNALING%WIKIPATHWAYS_20210210%WP3874%HOMO SAPIENS	CANONICAL AND NON-CANONICAL TGF-B SIGNALING%WIKIPATHWAYS_20210210%WP3874%HOMO SAPIENS		16	0.5846049	1.5807317	0.021141648	0.6933332	1.0	2408	tags=44%, list=16%, signal=52%	
CELLULAR ZINC ION HOMEOSTASIS%GOBP%GO:0006882	CELLULAR ZINC ION HOMEOSTASIS%GOBP%GO:0006882		16	0.57357144	1.5709227	0.02584493	0.73749405	1.0	3444	tags=50%, list=22%, signal=64%	
NEGATIVE REGULATION OF METAPHASE/ANAPHASE TRANSITION OF CELL CYCLE%GOBP%GO:1902100	NEGATIVE REGULATION OF METAPHASE/ANAPHASE TRANSITION OF CELL CYCLE%GOBP%GO:1902100		22	0.54119706	1.5697567	0.024291499	0.73070735	1.0	2214	tags=45%, list=14%, signal=53%	
DNA DAMAGE RESPONSE, DETECTION OF DNA DAMAGE%GOBP%GO:0042769	DNA DAMAGE RESPONSE, DETECTION OF DNA DAMAGE%GOBP%GO:0042769		36	0.48106104	1.5681777	0.021413276	0.7265792	1.0	2644	tags=28%, list=17%, signal=33%	
