pathway	pval	padj	log2err	ES	NES	size	leadingEdge
'DE NOVO' POSTTRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	0.21176470588235294	0.9263274299341352	0.13145761164276346	-0.3870283259812099	-1.1807060186773681	27	
'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	0.2406311637080868	0.9263274299341352	0.12267918956880833	-0.37245140642033475	-1.1637276973307857	31	
16P11.2 DISTAL DELETION SYNDROME%WIKIPATHWAYS_20210210%WP4950%HOMO SAPIENS	0.6354378818737271	0.9595963995354239	0.06783382634794552	-0.31468560245118227	-0.8613943224538845	18	
16P11.2 PROXIMAL DELETION SYNDROME%WIKIPATHWAYS_20210210%WP4949%HOMO SAPIENS	0.8435643564356435	0.9772685833135282	0.05302125120430776	-0.22981552825079052	-0.78848984612359585	49	
1D-<I>MYO< I>-INOSITOL HEXAKISPHOSPHATE BIOSYNTHESIS II (MAMMALIAN)%HUMANCYC%PWY-6362	0.3488372093023256	0.9263274299341352	0.09754492162471996	0.4088491386285601	1.0880028659451602	15	
1Q21.1 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20210210%WP4905%HOMO SAPIENS	0.05295315682281059	0.8019282616340405	0.28201335001172506	-0.5450810998331042	-1.4920598877604954	18	
2'-DEOXYRIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009394	0.6897233201581028	0.9637865136192967	0.06238614928936257	0.27776593701573155	0.842621977052491	25	
22Q11.2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20210210%WP4657%HOMO SAPIENS	0.7962616822429907	0.9738807062750724	0.05302125120430776	-0.22190291366647447	-0.8351510683225609	76	
3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE METABOLIC PROCESS%GOBP%GO:0050427	0.12524850894632206	0.8911447895791582	0.17669426893849804	0.46126296147039736	1.3281008480475365	20	
3'-UTR-MEDIATED MRNA STABILIZATION%GOBP%GO:0070935	0.41487279843444225	0.9263274299341352	0.08809450103985174	0.36684843326218786	1.0304960431087355	18	
3-PHOSPHOINOSITIDE BIOSYNTHESIS%HUMANCYC%PWY-6352	0.15612648221343872	0.9128464459349162	0.1563124030731863	0.42558679057636967	1.2910466514926733	25	
3-PHOSPHOINOSITIDE DEGRADATION%HUMANCYC%PWY-6368	0.8023483365949119	0.9738807062750724	0.054793950077336284	0.27219367367111114	0.7646059741431144	18	
3Q29 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20210210%WP4906%HOMO SAPIENS	0.6215686274509804	0.9588232968249575	0.06705125798294667	0.26699562109714475	0.9164288538777166	43	
4-HYDROXYTAMOXIFEN, DEXAMETHASONE, AND RETINOIC ACIDS REGULATION OF P27 EXPRESSION%WIKIPATHWAYS_20210210%WP3879%HOMO SAPIENS	0.8641975308641975	0.9780209198473743	0.053676960063812645	-0.2703317064101989	-0.710398460574156	15	
5-HYDROXYTRYPTAMINE DEGREDATION%PANTHER PATHWAY%P04372	0.539714867617108	0.9440331826803445	0.07608371609517249	-0.34346767636872655	-0.9401799893795482	18	
5HT1 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04373	0.3634538152610442	0.9263274299341352	0.09721508088464663	-0.32701711418952667	-1.0345635347894975	34	
5HT2 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04374	0.7354085603112841	0.9712684791072249	0.05859375689456714	0.25012052510397476	0.8528982379465102	41	
5HT4 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04376	0.9032258064516129	0.9826985017706777	0.050702793702934776	-0.2372394479233478	-0.7019517224922958	25	
7-METHYLGUANOSINE MRNA CAPPING%GOBP%GO:0006370	0.39595959595959596	0.9263274299341352	0.09255288646847727	0.33289454169396593	1.0467224268505766	31	
7-METHYLGUANOSINE RNA CAPPING%GOBP%GO:0009452	0.39595959595959596	0.9263274299341352	0.09255288646847727	0.33289454169396593	1.0467224268505766	31	
7Q11.23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20210210%WP4932%HOMO SAPIENS	0.49709864603481624	0.9357542533737799	0.07767985601172364	-0.26532267155051187	-0.9647715429750938	64	
A TETRASACCHARIDE LINKER SEQUENCE IS REQUIRED FOR GAG SYNTHESIS%REACTOME DATABASE ID RELEASE 75%1971475	0.5387673956262425	0.9440331826803445	0.07492788183937392	-0.31644790903313513	-0.9486071888030184	26	
A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING	0.4344262295081967	0.9263274299341352	0.08809450103985174	-0.30515343795957106	-1.0089750298841667	41	
